,X,file_name,plot,block,treatment,year,month,day,plot_type,nphoto,GCC_mean,EGI_mean,ERI_mean,ExGmR,Date,pixel_length,pixel_width,DoY
85,204,C05_01_05072025.jpeg,5,2,Deluge,2025,5,7,C,1,0.345334705,0.017528594,0.094962631,-0.077434037,5/7/25,2437,2430,127
86,205,C06_01_05072025.jpeg,6,2,Control,2025,5,7,C,1,0.354921882,0.019362405,0.094575683,-0.075213278,5/7/25,2227,2257,127
87,206,C07_01_05072025.jpeg,7,2,Drought,2025,5,7,C,1,0.326251574,0.007836576,0.121539487,-0.113702911,5/7/25,2348,2377,127
88,207,C08_01_05072025.jpeg,8,2,Drought-Deluge,2025,5,7,C,1,0.338313139,0.01146288,0.107221312,-0.095758432,5/7/25,2360,2338,127
89,208,C09_01_05072025.jpeg,9,3,Deluge,2025,5,7,C,1,0.344846537,0.013841629,0.098666602,-0.084824972,5/7/25,2244,2227,127
90,209,C10_01_05072025.jpeg,10,3,Control,2025,5,7,C,1,0.342418794,0.015807328,0.098817204,-0.083009876,5/7/25,2248,2280,127
91,210,C11_01_05072025.jpeg,11,3,Drought,2025,5,7,C,1,0.338344686,0.013287107,0.118037787,-0.10475068,5/7/25,2249,2225,127
92,211,C12_01_05072025.jpeg,12,3,Drought-Deluge,2025,5,7,C,1,0.340275247,0.014505066,0.105922516,-0.09141745,5/7/25,2359,2407,127
93,212,C13_01_05072025.jpeg,13,4,Drought-Deluge,2025,5,7,C,1,0.34152702,0.011206593,0.105165288,-0.093958695,5/7/25,2262,2267,127
94,213,C14_01_05072025.jpeg,14,4,Drought,2025,5,7,C,1,0.342945116,0.01278082,0.110577801,-0.09779698,5/7/25,2114,2151,127
95,214,C15_01_05072025.jpeg,15,4,Deluge,2025,5,7,C,1,0.344790985,0.017376497,0.114239036,-0.096862539,5/7/25,2219,2227,127
96,215,C16_01_05072025.jpeg,16,4,Control,2025,5,7,C,1,0.344491025,0.013559541,0.093093146,-0.079533604,5/7/25,2291,2362,127
97,216,C17_01_05072025.jpeg,17,5,Drought-Deluge,2025,5,7,C,1,0.335159331,0.007468244,0.139233359,-0.131765116,5/7/25,2250,2274,127
98,217,C18_01_05072025.jpeg,18,5,Drought,2025,5,7,C,1,0.336776959,0.007292236,0.12415545,-0.116863214,5/7/25,2181,2181,127
99,218,C19_01_05072025.jpeg,19,5,Control,2025,5,7,C,1,0.345409698,0.015580124,0.096243992,-0.080663867,5/7/25,2182,2138,127
100,219,C20_01_05072025.jpeg,20,5,Deluge,2025,5,7,C,1,0.347444781,0.020025816,0.10911534,-0.089089524,5/7/25,2152,2174,127
101,220,C21_01_05072025.jpeg,21,6,Drought,2025,5,7,C,1,0.332462895,0.003179632,0.10657029,-0.103390658,5/7/25,2270,2238,127
102,221,C22_01_05072025.jpeg,22,6,Drought-Deluge,2025,5,7,C,1,0.339849202,0.011457004,0.12238505,-0.110928046,5/7/25,2291,2252,127
103,222,C23_01_05072025.jpeg,23,6,Deluge,2025,5,7,C,1,0.34891284,0.016638331,0.087068339,-0.070430008,5/7/25,2395,2393,127
104,223,C24_01_05072025.jpeg,24,6,Control,2025,5,7,C,1,0.337172213,0.010822405,0.104887648,-0.094065244,5/7/25,2343,2379,127
105,224,C25_01_05072025.jpeg,25,7,Drought,2025,5,7,C,1,0.3378698,0.009346799,0.11791085,-0.108564052,5/7/25,2044,2034,127
106,225,C26_01_05072025.jpeg,26,7,Drought-Deluge,2025,5,7,C,1,0.334117212,0.00698337,0.116849128,-0.109865758,5/7/25,2326,2374,127
107,226,C27_01_05072025.jpeg,27,7,Control,2025,5,7,C,1,0.349331333,0.019212343,0.094395477,-0.075183135,5/7/25,2317,2306,127
108,227,C28_01_05072025.jpeg,28,7,Deluge,2025,5,7,C,1,0.338413498,0.013189552,0.100396317,-0.087206765,5/7/25,2169,2218,127
109,228,C29_01_05072025.jpeg,29,8,Drought-Deluge,2025,5,7,C,1,0.33395934,0.007365176,0.124052542,-0.116687366,5/7/25,2209,2232,127
110,229,C30_01_05072025.jpeg,30,8,Drought,2025,5,7,C,1,0.335502562,0.009375661,0.112555379,-0.103179718,5/7/25,2254,2269,127
111,230,C31_01_05072025.jpeg,31,8,Control,2025,5,7,C,1,0.338429286,0.01240728,0.101297859,-0.088890578,5/7/25,2342,2343,127
112,231,C32_01_05072025.jpeg,32,8,Deluge,2025,5,7,C,1,0.330057332,0.003326789,0.123421396,-0.120094606,5/7/25,2316,2300,127
113,232,C33_01_05072025.jpeg,33,9,Drought,2025,5,7,C,1,0.332272889,0.005032928,0.110031035,-0.104998108,5/7/25,2298,2306,127
114,233,C34_01_05072025.jpeg,34,9,Drought-Deluge,2025,5,7,C,1,0.332485251,0.006397462,0.130861607,-0.124464145,5/7/25,2257,2299,127
115,234,C35_01_05072025.jpeg,35,9,Deluge,2025,5,7,C,1,0.33157906,0.003007382,0.098237328,-0.095229946,5/7/25,2075,2133,127
116,235,C36_01_05072025.jpeg,36,9,Control,2025,5,7,C,1,0.341313613,0.014337469,0.104564734,-0.090227266,5/7/25,2349,2374,127
117,236,C37_01_05072025.jpeg,37,10,Deluge,2025,5,7,C,1,0.342889947,0.012195771,0.093611927,-0.081416155,5/7/25,2181,2231,127
118,237,C38_01_05072025.jpeg,38,10,Control,2025,5,7,C,1,0.343420943,0.013363466,0.085845798,-0.072482332,5/7/25,2386,2356,127
119,238,C39_01_05072025.jpeg,39,10,Drought-Deluge,2025,5,7,C,1,0.335181846,0.008047635,0.117364078,-0.109316443,5/7/25,2180,2225,127
120,239,C40_01_05072025.jpeg,40,10,Drought,2025,5,7,C,1,0.331982372,0.002788529,0.118563884,-0.115775355,5/7/25,2273,2264,127
121,319,C01_01_05162025.jpeg,1,1,Drought,2025,5,16,C,1,0.340404894,0.018073618,0.17321997,-0.155146352,5/16/25,1050,1056,136
122,320,C02_01_05162025.jpeg,2,1,Drought-Deluge,2025,5,16,C,1,0.339367313,0.018641448,0.208809855,-0.190168407,5/16/25,936,961,136
123,321,C03_01_05162025.jpeg,3,1,Control,2025,5,16,C,1,0.355767104,0.048302969,0.163367238,-0.115064269,5/16/25,833,891,136
124,322,C04_01_05162025.jpeg,4,1,Deluge,2025,5,16,C,1,0.361493671,0.044630439,0.135363922,-0.090733482,5/16/25,1056,1085,136
125,323,C05_01_05162025.jpeg,5,2,Deluge,2025,5,16,C,1,0.35730046,0.03946389,0.161053132,-0.121589242,5/16/25,1010,1022,136
126,324,C06_01_05162025.jpeg,6,2,Control,2025,5,16,C,1,0.356388199,0.041029757,0.154792369,-0.113762612,5/16/25,912,955,136
127,325,C07_01_05162025.jpeg,7,2,Drought,2025,5,16,C,1,0.344348519,0.027577104,0.185202479,-0.157625375,5/16/25,913,953,136
128,326,C08_01_05162025.jpeg,8,2,Drought-Deluge,2025,5,16,C,1,0.343625441,0.022479623,0.163034402,-0.140554779,5/16/25,917,927,136
129,327,C09_01_05162025.jpeg,9,3,Deluge,2025,5,16,C,1,0.351053352,0.034090478,0.166448257,-0.132357779,5/16/25,835,878,136
130,328,C10_01_05162025.jpeg,10,3,Control,2025,5,16,C,1,0.355274608,0.042372272,0.180375975,-0.138003703,5/16/25,969,987,136
131,329,C11_01_05162025.jpeg,11,3,Drought,2025,5,16,C,1,0.342135593,0.020358314,0.155021674,-0.13466336,5/16/25,956,990,136
132,330,C12_01_05162025.jpeg,12,3,Drought-Deluge,2025,5,16,C,1,0.34076445,0.018195478,0.171347534,-0.153152056,5/16/25,969,987,136
133,331,C13_01_05162025.jpeg,13,4,Drought-Deluge,2025,5,16,C,1,0.338053161,0.00883438,0.178659412,-0.169825032,5/16/25,1042,1081,136
134,332,C14_01_05162025.jpeg,14,4,Drought,2025,5,16,C,1,0.336898495,0.006587457,0.174203388,-0.167615931,5/16/25,1014,1047,136
135,333,C15_01_05162025.jpeg,15,4,Deluge,2025,5,16,C,1,0.350994447,0.048275848,0.214100634,-0.165824787,5/16/25,1008,999,136
136,334,C16_01_05162025.jpeg,16,4,Control,2025,5,16,C,1,0.353610683,0.048464858,0.244092021,-0.195627163,5/16/25,914,967,136
137,335,C17_01_05162025.jpeg,17,5,Drought-Deluge,2025,5,16,C,1,0.339016014,0.020673559,0.222644226,-0.201970668,5/16/25,1006,966,136
138,336,C18_01_05162025.jpeg,18,5,Drought,2025,5,16,C,1,0.342753634,0.026585838,0.191955761,-0.165369924,5/16/25,1037,1057,136
139,337,C19_01_05162025.jpeg,19,5,Control,2025,5,16,C,1,0.356609176,0.03566258,0.133963202,-0.098300622,5/16/25,945,955,136
140,338,C20_01_05162025.jpeg,20,5,Deluge,2025,5,16,C,1,0.360276544,0.0440064,0.147936146,-0.103929746,5/16/25,993,1011,136
141,339,C21_01_05162025.jpeg,21,6,Drought,2025,5,16,C,1,0.341704119,0.01842675,0.149620711,-0.131193961,5/16/25,1006,936,136
142,340,C22_01_05162025.jpeg,22,6,Drought-Deluge,2025,5,16,C,1,0.339732373,0.016339069,0.170389682,-0.154050613,5/16/25,956,976,136
143,341,C23_01_05162025.jpeg,23,6,Deluge,2025,5,16,C,1,0.355446468,0.038975339,0.134683758,-0.095708419,5/16/25,917,914,136
144,342,C24_01_05162025.jpeg,24,6,Control,2025,5,16,C,1,0.350060891,0.043957339,0.155594885,-0.111637546,5/16/25,182,194,136
145,343,C25_01_05162025.jpeg,25,7,Drought,2025,5,16,C,1,0.341063512,0.016832188,0.16082735,-0.143995162,5/16/25,962,999,136
146,344,C26_01_05162025.jpeg,26,7,Drought-Deluge,2025,5,16,C,1,0.342338637,0.017964259,0.145227192,-0.127262933,5/16/25,933,963,136
147,345,C27_01_05162025.jpeg,27,7,Control,2025,5,16,C,1,0.357967068,0.041421955,0.146370003,-0.104948048,5/16/25,969,947,136
148,346,C28_01_05162025.jpeg,28,7,Deluge,2025,5,16,C,1,0.362730837,0.045390928,0.141550101,-0.096159173,5/16/25,961,964,136
149,347,C29_01_05162025.jpeg,29,8,Drought-Deluge,2025,5,16,C,1,0.338980773,0.014392811,0.176273154,-0.161880343,5/16/25,945,964,136
150,348,C30_01_05162025.jpeg,30,8,Drought,2025,5,16,C,1,0.339623943,0.016513948,0.185544103,-0.169030155,5/16/25,1021,1093,136
151,349,C31_01_05162025.jpeg,31,8,Control,2025,5,16,C,1,0.356617986,0.044030583,0.144753432,-0.100722849,5/16/25,957,1015,136
152,350,C32_01_05162025.jpeg,32,8,Deluge,2025,5,16,C,1,0.344381583,0.0232291,0.19567058,-0.17244148,5/16/25,903,896,136
153,351,C33_01_05162025.jpeg,33,9,Drought,2025,5,16,C,1,0.339507147,0.016931814,0.180611844,-0.16368003,5/16/25,972,993,136
154,352,C34_01_05162025.jpeg,34,9,Drought-Deluge,2025,5,16,C,1,0.339182486,0.014481273,0.168816576,-0.154335303,5/16/25,899,945,136
155,353,C35_01_05162025.jpeg,35,9,Deluge,2025,5,16,C,1,0.35295989,0.033205219,0.142783211,-0.109577991,5/16/25,900,974,136
156,354,C36_01_05162025.jpeg,36,9,Control,2025,5,16,C,1,0.355335289,0.045912355,0.14474248,-0.098830125,5/16/25,964,1017,136
157,355,C37_01_05162025.jpeg,37,10,Deluge,2025,5,16,C,1,0.361364479,0.041216483,0.138746154,-0.097529671,5/16/25,988,994,136
158,356,C38_01_05162025.jpeg,38,10,Control,2025,5,16,C,1,0.346134463,0.026309344,0.167911446,-0.141602102,5/16/25,834,871,136
159,357,C39_01_05162025.jpeg,39,10,Drought-Deluge,2025,5,16,C,1,0.338438143,0.012690192,0.164665565,-0.151975373,5/16/25,1041,1039,136
160,358,C40_01_05162025.jpeg,40,10,Drought,2025,5,16,C,1,0.337491438,0.011564776,0.172624957,-0.161060182,5/16/25,1014,1027,136
161,439,C01_01_05232025.jpeg,1,1,Drought,2025,5,23,C,1,0.338370758,0.015021242,0.19535063,-0.180329388,5/23/25,540,542,143
162,440,C02_01_05232025.jpeg,2,1,Drought-Deluge,2025,5,23,C,1,0.339913762,0.019307731,0.227499434,-0.208191703,5/23/25,1154,1155,143
163,441,C03_01_05232025.jpeg,3,1,Control,2025,5,23,C,1,0.356042303,0.062899284,0.174365326,-0.111466041,5/23/25,1042,1062,143
164,442,C04_01_05232025.jpeg,4,1,Deluge,2025,5,23,C,1,0.355271629,0.060556091,0.160853067,-0.100296977,5/23/25,553,562,143
165,443,C05_01_05232025.jpeg,5,2,Deluge,2025,5,23,C,1,0.351347022,0.052500565,0.171116287,-0.118615722,5/23/25,496,511,143
166,444,C06_01_05232025.jpeg,6,2,Control,2025,5,23,C,1,0.353142016,0.060065165,0.170495631,-0.110430465,5/23/25,482,482,143
167,445,C07_01_05232025.jpeg,7,2,Drought,2025,5,23,C,1,0.347641768,0.041339878,0.198172069,-0.156832191,5/23/25,966,969,143
168,446,C08_01_05232025.jpeg,8,2,Drought-Deluge,2025,5,23,C,1,0.340746121,0.021906811,0.192783401,-0.17087659,5/23/25,1021,1016,143
169,447,C09_01_05232025.jpeg,9,3,Deluge,2025,5,23,C,1,0.352581392,0.052428132,0.176998225,-0.124570093,5/23/25,969,997,143
170,448,C10_01_05232025.jpeg,10,3,Control,2025,5,23,C,1,0.359429621,0.074914799,0.188833133,-0.113918334,5/23/25,1082,1088,143
171,449,C11_01_05232025.jpeg,11,3,Drought,2025,5,23,C,1,0.344122539,0.03066291,0.192160578,-0.161497667,5/23/25,1002,1052,143
172,450,C12_01_05232025.jpeg,12,3,Drought-Deluge,2025,5,23,C,1,0.345358138,0.031992002,0.17892183,-0.146929829,5/23/25,1030,1043,143
173,451,C13_01_05232025.jpeg,13,4,Drought-Deluge,2025,5,23,C,1,0.337574859,0.013260769,0.192355089,-0.17909432,5/23/25,542,557,143
174,452,C14_01_05232025.jpeg,14,4,Drought,2025,5,23,C,1,0.338591218,0.016982511,0.197880224,-0.180897713,5/23/25,551,553,143
175,453,C15_01_05232025.jpeg,15,4,Deluge,2025,5,23,C,1,0.349743037,0.053734954,0.207042992,-0.153308038,5/23/25,973,947,143
176,454,C16_01_05232025.jpeg,16,4,Control,2025,5,23,C,1,0.353188953,0.055670852,0.209417924,-0.153747072,5/23/25,1074,1079,143
177,455,C17_01_05232025.jpeg,17,5,Drought-Deluge,2025,5,23,C,1,0.338934257,0.017179143,0.210681852,-0.193502709,5/23/25,1042,1047,143
178,456,C18_01_05232025.jpeg,18,5,Drought,2025,5,23,C,1,0.338494643,0.015906237,0.203744234,-0.187837996,5/23/25,1073,1070,143
179,457,C19_01_05232025.jpeg,19,5,Control,2025,5,23,C,1,0.354025516,0.046452052,0.148241612,-0.10178956,5/23/25,995,1007,143
