Plot_#,Trt_#,20_cm_VWC_%,Date,
3,Control,12.6,7/24/25,
4,Deluge,31.2,7/24/25,
5,Deluge,18.1,7/24/25,
6,Control,13.1,7/24/25,
7,Drought,16.7,7/24/25,
8,Drought-Deluge,21.8,7/24/25,
9,Deluge,22.7,7/24/25,
10,Control,11.5,7/24/25,
11,Drought,17.6,7/24/25,
12,Drought-Deluge,28.8,7/24/25,
13,Drought-Deluge,16.5,7/24/25,
14,Drought,13.9,7/24/25,
15,Deluge,19.5,7/24/25,
16,Control,12.4,7/24/25,
17,Drought-Deluge,16.9,7/24/25,
18,Drought,14.2,7/24/25,
19,Control,13.1,7/24/25,
20,Deluge,16.8,7/24/25,
21,Drought,12.3,7/24/25,
22,Drought-Deluge,23,7/24/25,
23,Deluge,29.7,7/24/25,
24,Control,13.8,7/24/25,
25,Drought,11.8,7/24/25,
26,Drought-Deluge,27.4,7/24/25,
27,Control,10,7/24/25,
28,Deluge,19.6,7/24/25,
29,Drought-Deluge,32.4,7/24/25,
30,Drought,10.7,7/24/25,
31,Control,11.8,7/24/25,
32,Deluge,32.6,7/24/25,
33,Drought,14.8,7/24/25,
34,Drought-Deluge,29.9,7/24/25,
35,Deluge,12.2,7/24/25,
36,Control,9.9,7/24/25,
37,Deluge,22,7/24/25,
38,Control,13.3,7/24/25,
39,Drought-Deluge,23.2,7/24/25,
40,Drought,19.1,7/24/25,
1,Drought,9.8,7/28/25,
2,Drought-Deluge,13.5,7/28/25,
3,Control,9.5,7/28/25,
4,Deluge,18.5,7/28/25,
5,Deluge,15.4,7/28/25,
6,Control,13.7,7/28/25,
7,Drought,12.2,7/28/25,
8,Drought-Deluge,17.3,7/28/25,
9,Deluge,13.7,7/28/25,
10,Control,9.9,7/28/25,
11,Drought,14.1,7/28/25,
12,Drought-Deluge,24.9,7/28/25,
13,Drought-Deluge,13.5,7/28/25,
14,Drought,9.9,7/28/25,
15,Deluge,10.3,7/28/25,
16,Control,10.5,7/28/25,
17,Drought-Deluge,16.3,7/28/25,
18,Drought,15.4,7/28/25,
19,Control,8.9,7/28/25,
20,Deluge,7.9,7/28/25,
21,Drought,8.8,7/28/25,
22,Drought-Deluge,14.3,7/28/25,
23,Deluge,20.2,7/28/25,
24,Control,11.1,7/28/25,
25,Drought,5.5,7/28/25,
26,Drought-Deluge,17.9,7/28/25,
27,Control,7.6,7/28/25,
28,Deluge,13.2,7/28/25,
29,Drought-Deluge,26.3,7/28/25,
30,Drought,6.3,7/28/25,
31,Control,10.7,7/28/25,
32,Deluge,17,7/28/25,
33,Drought,7.9,7/28/25,
34,Drought-Deluge,23.5,7/28/25,
35,Deluge,5.1,7/28/25,
36,Control,9.1,7/28/25,
37,Deluge,14,7/28/25,
38,Control,9.3,7/28/25,
39,Drought-Deluge,16.8,7/28/25,
40,Drought,15.4,7/28/25,
1,Drought,10.4,8/4/25,
2,Drought-Deluge,19.8,8/4/25,
3,Control,28.4,8/4/25,
4,Deluge,16.7,8/4/25,
5,Deluge,19.9,8/4/25,
6,Control,18.6,8/4/25,
7,Drought,15.5,8/4/25,
8,Drought-Deluge,16.9,8/4/25,
9,Deluge,19.9,8/4/25,
10,Control,15.5,8/4/25,
11,Drought,17.1,8/4/25,
12,Drought-Deluge,28.9,8/4/25,
13,Drought-Deluge,13.8,8/4/25,
14,Drought,15.2,8/4/25,
15,Deluge,18.7,8/4/25,
16,Control,14.6,8/4/25,
17,Drought-Deluge,27,8/4/25,
18,Drought,17.1,8/4/25,
19,Control,22.5,8/4/25,
20,Deluge,21.4,8/4/25,
21,Drought,12.9,8/4/25,
22,Drought-Deluge,17.4,8/4/25,
23,Deluge,22.7,8/4/25,
24,Control,20.9,8/4/25,
25,Drought,13.8,8/4/25,
26,Drought-Deluge,14.2,8/4/25,
27,Control,20.1,8/4/25,
28,Deluge,17.3,8/4/25,
29,Drought-Deluge,28.3,8/4/25,
30,Drought,11.5,8/4/25,
31,Control,14.2,8/4/25,
32,Deluge,36.3,8/4/25,
33,Drought,10.3,8/4/25,
34,Drought-Deluge,23.8,8/4/25,
35,Deluge,25.5,8/4/25,
36,Control,18.3,8/4/25,
37,Deluge,21,8/4/25,
38,Control,17.4,8/4/25,
39,Drought-Deluge,17.2,8/4/25,
40,Drought,18.9,8/4/25,
1,Drought,9,8/12/25,
2,Drought-Deluge,16,8/12/25,
3,Control,15.4,8/12/25,
4,Deluge,10.2,8/12/25,
5,Deluge,13.7,8/12/25,
6,Control,12.3,8/12/25,
7,Drought,11.1,8/12/25,
8,Drought-Deluge,12.1,8/12/25,
